Bin Start (ns),Bin End (ns),Frequency
66625,66750,7
66750,66875,6
66875,67000,3
67000,67125,3
67125,67250,6
67250,67375,4
67375,67500,2
67500,67625,5
67625,67750,2
67750,67875,3
67875,68000,4
68000,68125,8
68125,68250,6
68250,68375,8
68375,68500,0
68500,68625,4
68625,68750,6
68750,68875,2
68875,69000,7
69000,69125,5
69125,69250,3
69250,69375,2
69375,69500,3
69500,69625,2
69625,69750,5
69750,69875,9
69875,70000,7
70000,70125,6
70125,70250,6
70250,70375,5
70375,70500,4
70500,70625,2
70625,70750,4
70750,70875,3
70875,71000,2
71000,71125,2
71125,71250,8
71250,71375,4
71375,71500,2
71500,71625,3
71625,71750,4
71750,71875,3
71875,72000,6
72000,72125,5
72125,72250,2
72250,72375,6
72375,72500,3
72500,72625,1
72625,72750,3
72750,72875,2
72875,73000,4
73000,73125,6
73125,73250,0
73250,73375,5
73375,73500,3
73500,73625,3
73625,73750,1
73750,73875,0
73875,74000,6
74000,74125,1
74125,74250,2
74250,74375,2
74375,74500,3
74500,74625,2
74625,74750,3
74750,74875,2
74875,75000,3
75000,75125,3
75125,75250,2
75250,75375,6
75375,75500,5
75500,75625,2
75625,75750,3
75750,75875,1
75875,76000,2
76000,76125,5
76125,76250,3
76250,76375,2
76375,76500,2
76500,76625,3
76625,76750,3
76750,76875,3
76875,77000,2
77000,77125,4
77125,77250,7
77250,77375,1
77375,77500,4
77500,77625,4
77625,77750,2
77750,77875,4
77875,78000,4
78000,78125,2
78125,78250,1
78250,78375,2
78375,78500,2
78500,78625,0
78625,78750,6
78750,78875,6
78875,79000,2
79000,79125,5
79125,79250,3
79250,79375,5
79375,79500,1
79500,79625,2
79625,79750,2
79750,79875,3
79875,-9223372036854775808,4148
